Time , Heart Rate BPM , Insulin Level mIU/L
5:50 , 95 , 135
5:55 , 92 , 138
6:00 , 92 , 141
6:05 , 95 , 142
6:10 , 92 , 145
6:15 , 90 , 147
6:20 , 87 , 147
6:25 , 84 , 146
6:30 , 86 , 148
6:35 , 84 , 145
6:40 , 82 , 143
6:45 , 79 , 146
6:50 , 76 , 146
6:55 , 79 , 146
7:00 , 76 , 147
7:05 , 79 , 144
7:10 , 82 , 144
7:15 , 80 , 147
7:20 , 80 , 147
7:25 , 79 , 149
7:30 , 81 , 148
7:35 , 82 , 151
7:40 , 80 , 152
7:45 , 79 , 153
7:50 , 77 , 151
7:55 , 77 , 150
8:00 , 78 , 150
8:05 , 81 , 150
8:10 , 84 , 147
8:15 , 82 , 150
8:20 , 84 , 152
8:25 , 83 , 155
8:30 , 82 , 157
8:35 , 83 , 157
8:40 , 84 , 159
8:45 , 84 , 156
8:50 , 84 , 157
8:55 , 86 , 156
9:00 , 86 , 157
9:05 , 84 , 156
9:10 , 83 , 154
9:15 , 84 , 156
9:20 , 85 , 154
9:25 , 86 , 152
9:30 , 88 , 154
9:35 , 90 , 151
9:40 , 89 , 151
9:45 , 88 , 153
9:50 , 85 , 150
9:55 , 84 , 153
10:00 , 86 , 151
10:05 , 84 , 148
10:10 , 81 , 146
10:15 , 79 , 148
10:20 , 81 , 150
10:25 , 80 , 149
10:30 , 80 , 149
10:35 , 83 , 147
10:40 , 84 , 144
10:45 , 86 , 147
10:50 , 89 , 148
10:55 , 91 , 147
11:00 , 91 , 148
11:05 , 91 , 148
11:10 , 89 , 146
11:15 , 92 , 148
11:20 , 89 , 151
11:25 , 88 , 151
11:30 , 85 , 150
11:35 , 86 , 152
11:40 , 85 , 149
11:45 , 82 , 147
11:50 , 82 , 146
11:55 , 79 , 149
12:00 , 82 , 147
12:05 , 82 , 150
12:10 , 82 , 149
12:15 , 82 , 146
12:20 , 84 , 143
12:25 , 82 , 142
12:30 , 84 , 143
12:35 , 83 , 144
12:40 , 83 , 147
12:45 , 86 , 144
12:50 , 89 , 143
12:55 , 86 , 146
13:00 , 83 , 144
13:05 , 82 , 146
13:10 , 83 , 147
13:15 , 84 , 146
13:20 , 81 , 147
13:25 , 82 , 148
13:30 , 83 , 151
13:35 , 80 , 149
13:40 , 82 , 147
13:45 , 81 , 149
13:50 , 81 , 152
13:55 , 78 , 150
14:00 , 75 , 148
14:05 , 75 , 148
14:10 , 77 , 150
14:15 , 77 , 149
14:20 , 76 , 151
14:25 , 78 , 151
14:30 , 76 , 152
14:35 , 73 , 151
14:40 , 72 , 151
14:45 , 75 , 150
14:50 , 77 , 147
14:55 , 77 , 147
15:00 , 80 , 147
15:05 , 78 , 145
15:10 , 76 , 148
15:15 , 77 , 150
15:20 , 79 , 150
15:25 , 78 , 152
15:30 , 78 , 150
15:35 , 78 , 152
15:40 , 76 , 149
15:45 , 78 , 148
15:50 , 77 , 149
15:55 , 76 , 150
16:00 , 73 , 148
16:05 , 74 , 149
16:10 , 76 , 147
16:15 , 77 , 145
16:20 , 76 , 142
16:25 , 78 , 140
16:30 , 75 , 142
16:35 , 78 , 145
16:40 , 78 , 144
16:45 , 81 , 142
16:50 , 78 , 142
16:55 , 79 , 141
17:00 , 76 , 140
17:05 , 73 , 142
17:10 , 74 , 144
17:15 , 72 , 147
17:20 , 75 , 145
17:25 , 73 , 144
17:30 , 76 , 143
17:35 , 76 , 146
17:40 , 79 , 146
17:45 , 77 , 148
17:50 , 76 , 151
17:55 , 79 , 153
18:00 , 79 , 155
18:05 , 80 , 158
18:10 , 77 , 159
18:15 , 74 , 157
18:20 , 75 , 158
18:25 , 77 , 158
18:30 , 77 , 159
18:35 , 75 , 162
18:40 , 78 , 160
18:45 , 78 , 163
18:50 , 77 , 160
18:55 , 77 , 161
19:00 , 74 , 164
19:05 , 71 , 167
19:10 , 72 , 170
19:15 , 73 , 170
19:20 , 76 , 167
19:25 , 74 , 166
19:30 , 76 , 166
19:35 , 75 , 169
19:40 , 72 , 172
19:45 , 70 , 175
19:50 , 71 , 176
19:55 , 70 , 176
20:00 , 70 , 177
20:05 , 70 , 180
20:10 , 72 , 178
20:15 , 69 , 178
20:20 , 68 , 179
20:25 , 65 , 178
20:30 , 62 , 181
20:35 , 62 , 181
20:40 , 62 , 179
20:45 , 60 , 181
20:50 , 59 , 182
20:55 , 62 , 181
21:00 , 61 , 182
21:05 , 60 , 179
21:10 , 62 , 182
21:15 , 61 , 179
21:20 , 64 , 182
21:25 , 63 , 179
21:30 , 64 , 179
21:35 , 64 , 182
21:40 , 67 , 183
21:45 , 68 , 185
21:50 , 71 , 185
21:55 , 70 , 186
22:00 , 69 , 183
22:05 , 66 , 185
22:10 , 69 , 183
22:15 , 69 , 185
22:20 , 69 , 183
22:25 , 72 , 180
22:30 , 69 , 177
22:35 , 66 , 175
22:40 , 69 , 173
22:45 , 69 , 176
22:50 , 66 , 175
22:55 , 65 , 175
23:00 , 66 , 174
23:05 , 69 , 171
23:10 , 72 , 174
23:15 , 74 , 173
23:20 , 71 , 173
23:25 , 68 , 175
23:30 , 66 , 176
23:35 , 63 , 176
23:40 , 66 , 176
23:45 , 63 , 178
23:50 , 63 , 178
23:55 , 66 , 179
0:00 , 65 , 179
0:05 , 66 , 182
0:10 , 67 , 180
0:15 , 66 , 177
0:20 , 65 , 176
0:25 , 64 , 179
0:30 , 67 , 180
0:35 , 66 , 181
0:40 , 68 , 181
0:45 , 66 , 180
0:50 , 66 , 180
0:55 , 63 , 182
1:00 , 61 , 185
1:05 , 58 , 184
1:10 , 58 , 181
1:15 , 58 , 180
1:20 , 60 , 179
1:25 , 60 , 180
1:30 , 60 , 177
1:35 , 61 , 177
1:40 , 63 , 177
1:45 , 64 , 178
1:50 , 63 , 180
1:55 , 63 , 177
2:00 , 60 , 174
2:05 , 60 , 176
2:10 , 58 , 177
2:15 , 55 , 174
2:20 , 54 , 175
2:25 , 53 , 175
2:30 , 53 , 172
2:35 , 53 , 175
2:40 , 53 , 177
2:45 , 55 , 180
2:50 , 56 , 177
2:55 , 54 , 179
3:00 , 55 , 178
3:05 , 58 , 177
3:10 , 56 , 176
3:15 , 55 , 176
3:20 , 58 , 173
3:25 , 57 , 172
3:30 , 54 , 171
3:35 , 51 , 170
3:40 , 54 , 170
3:45 , 51 , 170
3:50 , 50 , 172
3:55 , 49 , 171
4:00 , 52 , 171
4:05 , 53 , 170
4:10 , 50 , 168
4:15 , 53 , 165
4:20 , 51 , 168
4:25 , 50 , 165
4:30 , 49 , 164
4:35 , 51 , 163
4:40 , 49 , 161
4:45 , 49 , 162
4:50 , 47 , 164
4:55 , 47 , 163
5:00 , 47 , 165
5:05 , 50 , 167
5:10 , 51 , 165
5:15 , 48 , 168
5:20 , 48 , 166
5:25 , 51 , 169
5:30 , 54 , 168
5:35 , 53 , 165
5:40 , 51 , 164
5:45 , 48 , 165
5:50 , 48 , 166
5:55 , 49 , 165
6:00 , 52 , 164
6:05 , 53 , 163
6:10 , 56 , 164
6:15 , 58 , 162
6:20 , 59 , 159
6:25 , 58 , 157
6:30 , 57 , 158
6:35 , 58 , 161
6:40 , 59 , 161
6:45 , 57 , 164
6:50 , 59 , 165
6:55 , 58 , 164
7:00 , 60 , 167
7:05 , 62 , 164
7:10 , 63 , 163
7:15 , 60 , 161
7:20 , 61 , 162
7:25 , 59 , 159
7:30 , 58 , 162
7:35 , 55 , 160
7:40 , 55 , 157
7:45 , 54 , 158
7:50 , 51 , 161
7:55 , 53 , 162
8:00 , 53 , 163
8:05 , 52 , 160
8:10 , 53 , 160
8:15 , 54 , 160
8:20 , 55 , 159
8:25 , 54 , 156
8:30 , 53 , 153
8:35 , 54 , 151
8:40 , 54 , 152
8:45 , 51 , 150
8:50 , 50 , 148
8:55 , 51 , 150
9:00 , 48 , 151
9:05 , 49 , 153
9:10 , 47 , 151
9:15 , 50 , 148
9:20 , 47 , 148
9:25 , 47 , 145
9:30 , 48 , 144
9:35 , 49 , 146
9:40 , 51 , 143
9:45 , 48 , 142
9:50 , 47 , 142
9:55 , 45 , 142
10:00 , 45 , 145
10:05 , 42 , 147
10:10 , 44 , 145
10:15 , 42 , 144
10:20 , 40 , 146
10:25 , 42 , 148
10:30 , 41 , 151
10:35 , 44 , 148
10:40 , 45 , 146
10:45 , 47 , 146
10:50 , 47 , 143
10:55 , 45 , 143
11:00 , 43 , 143
11:05 , 41 , 144
11:10 , 40 , 146
11:15 , 40 , 147
11:20 , 40 , 147
11:25 , 40 , 149
11:30 , 43 , 152
11:35 , 45 , 152
11:40 , 45 , 154
11:45 , 42 , 155
11:50 , 40 , 153
11:55 , 43 , 150
12:00 , 42 , 149
12:05 , 43 , 146
12:10 , 42 , 149
12:15 , 41 , 146
12:20 , 44 , 147
12:25 , 41 , 147
12:30 , 40 , 149
12:35 , 40 , 150
12:40 , 40 , 148
12:45 , 40 , 146
12:50 , 41 , 145
12:55 , 40 , 144
13:00 , 43 , 146
13:05 , 44 , 146
13:10 , 46 , 143
13:15 , 43 , 144
13:20 , 42 , 143
13:25 , 40 , 142
13:30 , 41 , 145
13:35 , 40 , 148
13:40 , 40 , 149
13:45 , 42 , 148
13:50 , 42 , 149
13:55 , 41 , 150
14:00 , 43 , 151
14:05 , 42 , 149
14:10 , 44 , 151
14:15 , 44 , 154
14:20 , 43 , 155
14:25 , 42 , 158
14:30 , 45 , 155
14:35 , 48 , 155
14:40 , 45 , 156
14:45 , 47 , 156
14:50 , 49 , 154
14:55 , 51 , 154
15:00 , 54 , 154
15:05 , 56 , 154
15:10 , 57 , 155
15:15 , 54 , 158
15:20 , 54 , 159
15:25 , 57 , 157
15:30 , 60 , 159
15:35 , 62 , 157
15:40 , 65 , 156
15:45 , 64 , 158
15:50 , 67 , 159
15:55 , 70 , 156
16:00 , 73 , 156
16:05 , 76 , 153
16:10 , 75 , 153
16:15 , 77 , 153
16:20 , 80 , 155
16:25 , 77 , 155
16:30 , 79 , 155
16:35 , 76 , 157
16:40 , 74 , 158
16:45 , 76 , 160
16:50 , 73 , 161
16:55 , 71 , 161
17:00 , 72 , 161
17:05 , 72 , 162
17:10 , 71 , 159
17:15 , 68 , 158
17:20 , 71 , 156
17:25 , 72 , 155
17:30 , 70 , 157
17:35 , 72 , 157
17:40 , 72 , 154
17:45 , 74 , 151
17:50 , 76 , 151
17:55 , 75 , 149
18:00 , 74 , 152
18:05 , 76 , 154
18:10 , 79 , 154
18:15 , 77 , 151
18:20 , 74 , 153
18:25 , 75 , 151
18:30 , 75 , 148
18:35 , 78 , 146
18:40 , 80 , 146
18:45 , 77 , 143
18:50 , 79 , 141
18:55 , 76 , 139
19:00 , 76 , 139
19:05 , 75 , 141
19:10 , 77 , 143
19:15 , 79 , 146
19:20 , 78 , 147
19:25 , 81 , 144
19:30 , 84 , 146
19:35 , 86 , 149
19:40 , 89 , 152
19:45 , 90 , 149
19:50 , 89 , 147
19:55 , 92 , 144
20:00 , 91 , 141
20:05 , 88 , 143
20:10 , 87 , 142
20:15 , 87 , 140
20:20 , 87 , 137
20:25 , 88 , 140
20:30 , 86 , 143
20:35 , 87 , 141
20:40 , 86 , 143
20:45 , 89 , 146
20:50 , 89 , 147
20:55 , 89 , 148
21:00 , 91 , 147
21:05 , 93 , 145
21:10 , 96 , 144
21:15 , 99 , 142
21:20 , 99 , 144
21:25 , 100 , 145
21:30 , 97 , 142
21:35 , 97 , 140
21:40 , 96 , 140
21:45 , 94 , 137
21:50 , 95 , 136
21:55 , 97 , 137
22:00 , 100 , 139
22:05 , 103 , 136
22:10 , 100 , 133
22:15 , 97 , 136
22:20 , 98 , 138
22:25 , 100 , 135
22:30 , 102 , 135
22:35 , 102 , 134
22:40 , 99 , 135
22:45 , 98 , 136
22:50 , 101 , 137
22:55 , 102 , 136
23:00 , 103 , 136
23:05 , 106 , 135
23:10 , 107 , 134
23:15 , 110 , 134
23:20 , 113 , 135
23:25 , 114 , 133
23:30 , 111 , 135
23:35 , 108 , 137
23:40 , 108 , 137
23:45 , 108 , 134
23:50 , 110 , 134
23:55 , 110 , 132
0:00 , 113 , 135
0:05 , 114 , 138
0:10 , 114 , 138
0:15 , 114 , 136
0:20 , 111 , 138
0:25 , 108 , 141
0:30 , 111 , 143
0:35 , 111 , 141
0:40 , 108 , 144
0:45 , 109 , 147
0:50 , 110 , 145
